step,energy
000000000,55311.9932577
000600000,19136.4472624
001200000,18612.7228143
001800000,18368.088313
002400000,18021.1288326
003000000,18129.6494704
003600000,18072.780576
004200000,17703.9237997
004800000,17460.1802479
005400000,17416.4522643
006000000,17306.5992721
006600000,17102.0951963
007200000,17584.1526585
007800000,17430.5716827
008400000,17832.5096502
009000000,17812.3195053
009600000,17581.4296257
010200000,17344.2565293
010800000,17611.2880554
011400000,17616.7550708
012000000,17279.8386718
012600000,17494.8646079
013200000,16964.3899433
013800000,17170.714323
014400000,17352.4092035
015000000,17286.4209066
015600000,17109.2903127
016200000,17011.791264
016800000,17086.1272706
017400000,16943.9007806
018000000,17055.5310271
018600000,17182.4645554
019200000,17099.4970958
019800000,16908.9875061
020400000,16918.4059264
021000000,17026.8134114
021600000,17045.2472519
022200000,16772.2489815
022800000,16622.3695462
023400000,16834.1727207
024000000,16929.3025833
024600000,16700.906822
025200000,16660.2766677
025800000,16666.5972587
026400000,16971.2860419
027000000,16865.5093869
027600000,16759.4828674
028200000,16510.0433857
028800000,16448.7233577
029400000,16661.8588866
030000000,16636.0101857
030600000,16475.1091613
031200000,16366.2346769
031800000,16325.7294548
032400000,16354.0722739
033000000,16350.3707335
033600000,16493.429849
034200000,16254.4912776
034800000,16720.9838142
035400000,16875.4393154
036000000,16770.733371
036600000,16721.4717636
037200000,16879.5038731
037800000,16488.5665447
038400000,16381.2076709
039000000,16471.2944681
039600000,16670.9234602
040200000,16709.3093606
040800000,16711.8152583
041400000,16627.7991876
042000000,16677.4939155
042600000,16834.7973817
043200000,16945.1501027
043800000,16682.0490315
044400000,16686.1253686
045000000,16936.8633258
045600000,16849.1457146
046200000,16673.7714251
046800000,16742.8693307
047400000,16417.7614881
048000000,16449.3270688
048600000,16588.8095761
049200000,16353.8341889
049800000,16415.7670986
050400000,16264.9091556
051000000,16292.3983992
051600000,16302.3165483
052200000,16561.4452647
052800000,16364.4901519
053400000,16275.555948
054000000,16180.0512888
054600000,16211.2630228
055200000,16287.056316
055800000,16532.0656139
056400000,16265.2865611
057000000,16221.546798
057600000,16326.7079626
058200000,16429.9904993
058800000,16364.8439986
059400000,16163.0839054
060000000,16180.9048643
060600000,16205.1713463
061200000,16169.6543608
061800000,16074.6494304
062400000,16259.317208
063000000,16060.7798764
063600000,16102.5134706
064200000,16200.8660948
064800000,16057.4321826
065400000,16156.2635857
066000000,16228.3553384
066600000,16146.3572159
067200000,16336.6261117
067800000,16243.7405029
068400000,16742.1616374
069000000,16759.8694435
069600000,16405.1203062
070200000,16337.1048906
070800000,16561.0704681
071400000,16442.4027667
072000000,16479.32221
072600000,16538.6360693
073200000,16576.043462
073800000,16330.5344352
074400000,16739.4294341
075000000,16383.7017891
075600000,16585.2237973
076200000,16480.2889383
076800000,16456.0224563
077400000,16104.9866389
078000000,16350.6205979
078600000,16494.533289
079200000,16214.860581
079800000,16203.7140597
080400000,16056.8075215
081000000,16161.1386694
081600000,16240.871588
082200000,16336.1381623
082800000,16227.9805417
083400000,16182.5454071
084000000,16310.3442903
084600000,16118.0026174
085200000,16098.5411158
085800000,15869.7705579
086400000,16346.4193286
087000000,15917.221032
087600000,16056.3405221
088200000,15708.640619
088800000,15712.8418883
089400000,15947.9448165
090000000,16112.6605342
090600000,16130.0027142
091200000,16272.4581187
091800000,15927.8678244
092400000,16333.0403329
093000000,16204.8174997
093600000,16073.5459905
094200000,16157.2420934
094800000,16177.2033239
095400000,16397.9461398
096000000,16172.9346743
096600000,16170.5079363
097200000,16443.3812745
097800000,16216.0013949
098400000,16394.2236494
099000000,16522.4347032
099600000,16166.0568026
100200000,16147.9859793
100800000,16388.9307195
101400000,16218.4955132
102000000,16270.2630182
102600000,16336.01323
103200000,16053.8346244
103800000,15985.5902943
104400000,16272.2082542
105000000,16148.9762664
105600000,15998.6062728
106200000,16077.6223275
106800000,15961.9275234
107400000,15913.6444237
108000000,16170.0291574
108600000,15828.4117603
109200000,16579.7450024
109800000,16634.8693718
110400000,16345.3799194
111000000,16420.4471468
111600000,16118.9811251
112200000,16092.4703893
112800000,15954.6402041
113400000,16381.0945181
114000000,16257.6218363
114600000,16245.6975184
115200000,16290.4040098
115800000,16296.7246007
116400000,16043.4376964
117000000,16014.0580456
117600000,15917.9496753
118200000,16221.784883
118800000,16318.1431178
119400000,16181.883372
120000000,16768.9888459
120600000,16263.9972561
121200000,16284.1991805
121800000,16031.1503612
122400000,16072.8839554
123000000,15984.3245482
123600000,16140.3996422
124200000,16118.7548195
124800000,16146.6162509
125400000,15822.9447449
126000000,15714.1951927
126600000,15813.5263246
127200000,15952.5091031
127800000,15668.9889725
128400000,15716.689311
129000000,15939.6180568
129600000,15839.9121282
130200000,16029.4549896
130800000,15839.4333494
131400000,15724.8419851
132000000,15925.873435
132600000,16316.8133722
133200000,16028.4273284
133800000,15987.0685308
134400000,15898.2592592
135000000,15976.0587212
135600000,15750.9988743
136200000,15979.5195678
136800000,15920.9435224
137400000,16150.5676558
138000000,15764.4936317
138600000,16094.8395753
139200000,15901.9607996
139800000,15688.9502029
140400000,16119.480854
141000000,16023.2593308
141600000,15979.5195678
142200000,15726.7232217
142800000,15955.9817291
143400000,15665.5372964
144000000,15785.7872166
144600000,15641.2498645
145200000,15545.2782057
145800000,15555.9132188
146400000,15597.5336602
147000000,15778.4881179
147600000,15714.0702605
148200000,15852.3361751
148800000,15976.4217384
149400000,16078.237818
150000000,15932.1940259
150600000,15971.8574519
151200000,15855.5471572
151800000,15817.1730362
152400000,15731.5747467
153000000,15793.3735536
153600000,15759.3138547
154200000,15939.542278
154800000,15903.4764102
155400000,15772.2166804
156000000,15701.3415204
156600000,15810.361887
157200000,15975.3182985
157800000,15770.0855793
158400000,15885.4055869
159000000,15817.1612568
159600000,15917.3459642
160200000,15767.4665289
160800000,15718.5705476
161400000,15792.5317575
162000000,15636.3199519
162600000,15748.5539094
163200000,15926.4105378
163800000,16183.7737792
164400000,16011.7471835
165000000,16159.9860761
165600000,15854.5686495
166200000,15765.6344456
166800000,15572.0270266
167400000,15844.6505004
168000000,15816.9113924
168600000,15653.5371996
169200000,15745.8190973
169800000,15654.5157074
170400000,15661.814806
171000000,15699.347131
171600000,15521.8535198
172200000,15501.1754254
172800000,15838.9453999
173400000,15670.1533452
174000000,15511.0817952
174600000,15363.8214103
175200000,15477.0220962
175800000,15897.1558192
176400000,15790.8794354
177000000,15821.8413049
177600000,15644.1305588
178200000,15474.6529102
178800000,15576.4781603
179400000,15641.7495933
180000000,15737.7330314
180600000,15834.390284
181200000,16153.5405529
181800000,15903.8512068
182400000,15797.6997551
183000000,15887.8623312
183600000,15655.4942151
184200000,15549.5926278
184800000,15564.1908251
185400000,15747.5262483
186000000,15682.2548154
186600000,15725.7538846
187200000,15675.9342244
187800000,15630.2492253
188400000,15675.0806489
189000000,15761.2708701
189600000,15627.7551071
190200000,15614.0104853
190800000,15695.7705227
191400000,15522.3532487
192000000,15758.8468552
192600000,15828.7865569
193200000,15804.5200749
193800000,15650.5643025
194400000,15724.9003091
195000000,15919.2363714
195600000,15695.874505
196200000,15701.716317
196800000,15722.1563264
197400000,15578.8473464
198000000,15576.4781603
198600000,15497.3371734
199200000,15558.407337
199800000,15710.9084317
200400000,15357.8546661
201000000,15841.5644504
201600000,15760.2923624
202200000,15644.9723549
202800000,15692.0480323
203400000,15824.1065088
204000000,15664.1839921
204600000,15608.4559116
205200000,15573.9174338
205800000,15458.8263407
206400000,15616.1298069
207000000,15704.4511292
207600000,15733.1569655
208200000,15537.8423955
208800000,15333.4632518
209400000,15456.103308
210000000,15678.9071216
210600000,15760.1792096
211200000,15786.9280305
211800000,15895.3668168
212400000,15725.0160707
213000000,15845.1502292
213600000,15985.8401587
214200000,15875.6241494
214800000,16077.6432775
215400000,15766.8628178
216000000,15794.6019258
216600000,15698.3686232
217200000,15914.4979992
217800000,15770.9391548
218400000,15828.069693
219000000,15714.0062611
219600000,15977.8124168
220200000,15685.2277125
220800000,15723.613613
221400000,15802.2548711
222000000,15777.146593
222600000,15504.8861365
223200000,15436.8707208
223800000,15671.1292441
224400000,15630.2492253
225000000,15450.5113604
225600000,15514.429489
226200000,15521.2498087
226800000,15341.1371471
227400000,15494.1144118
228000000,15388.462689
228600000,15443.5661084
229200000,15235.1106277
229800000,15422.1593707
230400000,15231.7629339
231000000,15401.9574464
231600000,15538.3447332
232200000,15699.347131
232800000,15686.4560847
233400000,15723.1348341
234000000,15589.4941388
234600000,15607.9397588
235200000,15358.7291915
235800000,15563.8369785
236400000,15249.9796393
237000000,15440.7181434
237600000,15328.371033
238200000,15188.6596113
238800000,15500.8097994
239400000,15460.0547129
240000000,15501.7883071
240600000,15265.7186506
241200000,15316.7457329
241800000,15354.0281934
242400000,15207.8712485
243000000,15337.0725894
243600000,15038.4053793
244200000,15481.4732299
244800000,15399.1212608
245400000,15569.3157733
246000000,15279.5882046
246600000,15596.4393908
247200000,15154.2251157
247800000,15396.8652276
248400000,15394.9199915
249000000,15453.2553431
249600000,15570.2825016
250200000,15389.3162645
250800000,15507.2671019
251400000,15502.0381715
252000000,15683.3582553
252600000,15463.5299477
253200000,15507.6301191
253800000,15474.6529102
254400000,15318.2030195
255000000,15250.0836216
255600000,15283.1765922
256200000,15290.4639115
256800000,15266.3223617
257400000,15512.5600317
258000000,15497.8369022
258600000,15649.7773352
259200000,15420.5279985
259800000,15191.9981345
260400000,15283.3015244
261000000,15304.2294832
261600000,15379.8978442
262200000,15307.4522448
262800000,15529.6641267
263400000,15358.1254804
264000000,15269.7949877
264600000,15471.8049452
265200000,15324.0448315
265800000,15171.3174313
266400000,15157.4478773
267000000,15405.3169195
267600000,15368.7513229
268200000,15414.9852043
268800000,15368.8762551
