step,energy
000000000,9111.64884912
000600000,9111.64884912
001200000,9111.64884912
001800000,9111.64884912
002400000,9111.64884912
003000000,9111.64884912
003600000,9235.82074693
004200000,9230.42828655
004800000,9264.61291771
005400000,9304.19000924
006000000,9264.61291771
006600000,9270.00537808
007200000,9230.42828655
007800000,9377.08496031
008400000,9298.79754886
009000000,9332.98218002
009600000,9264.61291771
010200000,9264.61291771
010800000,9304.19000924
011400000,9304.19000924
012000000,9304.19000924
012600000,9433.75436742
013200000,9462.5465382
013800000,9496.73116936
014400000,9541.7488841
015000000,9525.52334014
015600000,9508.43102456
016200000,9440.06176225
016800000,9474.2463934
017400000,9457.15407782
018000000,9428.36190704
018600000,9337.50786878
019200000,9388.78481551
019800000,9440.06176225
020400000,9394.17727589
021000000,9445.45422262
021600000,9599.28506283
022200000,9576.80028687
022800000,9520.13087976
023400000,9467.98716141
024000000,9570.54105488
024600000,9599.28506283
025200000,9645.38081585
025800000,9700.97218468
026400000,9666.78755352
027000000,9528.31548566
027600000,9541.7488841
028200000,9610.98491803
028800000,9575.06674363
029400000,9700.97218468
030000000,9656.86940439
030600000,9759.42329786
031200000,9833.18502055
031800000,9881.8134896
032400000,9952.8312296
033000000,9746.85667104
033600000,9820.61839373
034200000,9730.63112708
034800000,9843.9699413
035400000,9757.64159179
036000000,9690.1391011
036600000,9673.04678552
037200000,9736.02358745
037800000,9782.98611209
038400000,9645.16954919
039000000,9576.80028687
039600000,9701.8389563
040200000,9520.13087976
040800000,9520.13087976
041400000,9622.68477323
042000000,9645.16954919
042600000,9622.68477323
043200000,9696.44649592
043800000,9655.08769832
044400000,9672.1800139
045000000,9689.27232948
045600000,9666.78755352
046200000,9649.69523794
046800000,9660.4801587
047400000,9684.74664072
048000000,9621.76983878
048600000,9616.37737841
049200000,9736.02358745
049800000,9842.61709438
050400000,9725.2386667
051000000,9656.86940439
051600000,9747.72344266
052200000,9775.60067899
052800000,9764.81575823
053400000,9807.18499529
054000000,9759.42329786
054600000,9763.94898661
055200000,9604.72568603
055800000,9674.17298663
056400000,9683.01309748
057000000,9657.08067105
057600000,9604.72568603
058200000,9621.81800161
058800000,9627.21046199
059400000,9615.51060679
060000000,9575.93351525
060600000,9700.97218468
